input,cores,chunk_size,run1s1,run1s2,run1e1,run1e2,run2s1,run2s2,run2e1,run2e2,run3s1,run3s2,run3e1,run3e2,run4s1,run4s2,run4e1,run4e2,run5s1,run5s2,run5e1,run5e2
15000,20,256,0.458581,0.456719,5.129178,5.129240,0.441390,0.491889,5.128845,5.128886,0.456348,0.464605,5.127964,5.129251,0.430174,0.483193,5.135501,5.129047,0.432709,0.464105,5.128657,5.128846
15000,20,512,0.606243,0.591990,5.127844,5.131876,0.640984,0.568065,5.134609,5.134739,0.570226,0.589203,5.128548,5.129470,0.624175,0.600501,5.139174,5.129007,0.607116,0.589989,5.129734,5.129212
15000,20,1024,0.830955,0.844059,5.129311,5.129298,0.854646,0.847263,5.129189,5.134861,0.860711,0.828087,5.139525,5.129214,0.871382,0.889440,5.129502,5.129571,0.881422,0.885845,5.143134,5.128949
15000,20,2048,1.626410,1.578521,5.133532,5.131777,1.593383,1.568890,5.129189,5.131324,1.579258,1.617747,5.129018,5.130442,1.569938,1.570325,5.135506,5.128919,1.614669,1.606291,5.130735,5.132877
15000,20,4096,2.370770,2.349094,5.129825,5.129379,2.452491,2.382142,5.129409,5.131559,2.426131,2.371532,5.128032,5.132011,2.383709,2.372109,5.128384,5.131106,2.367382,2.362899,5.132046,5.132443
15000,24,1,0.328550,0.324837,5.129185,5.129222,0.460884,0.326834,5.144633,5.135448,0.333492,0.308356,5.129740,5.129523,0.330875,0.309461,5.129780,5.129432,0.332613,0.324967,5.134701,5.129150
15000,24,10,0.373181,0.343034,5.129674,5.129230,0.370040,0.317403,5.134458,5.130205,0.349264,0.314258,5.130124,5.128942,0.355834,0.329583,5.134811,5.128894,0.368350,0.326519,5.129830,5.140365
15000,24,16,0.384957,0.338297,5.127378,5.129918,0.376447,0.335222,5.129971,5.129121,0.398839,0.336982,5.127836,5.129313,0.351560,0.322831,5.129530,5.128986,0.372170,0.332911,5.127720,5.134484
15000,24,32,0.363915,0.331570,5.129048,5.129025,0.388696,0.328385,5.128716,5.134960,0.363309,0.317526,5.129202,5.128991,0.382354,0.324196,5.150436,5.129176,0.326603,0.362323,5.130088,5.129289
15000,24,64,0.393723,0.338495,5.129220,5.129501,0.375853,0.341553,5.135630,5.128841,0.366509,0.372559,5.129629,5.129058,0.406860,0.334639,5.134844,5.128530,0.406966,0.348310,5.131334,5.129148
15000,24,128,0.390557,0.362073,5.134878,5.129295,0.440309,0.369468,5.128858,5.140383,0.384246,0.377377,5.127611,5.129166,0.398357,0.386687,5.129580,5.129952,0.411524,0.366023,5.130120,5.129280
15000,24,256,0.469989,0.423273,5.130376,5.128982,0.471821,0.434825,5.130636,5.133325,0.477655,0.455004,5.129997,5.129125,0.482066,0.431516,5.129959,5.133110,0.454129,0.435822,5.129757,5.129516
