input,cores,chunk_size,run1s,run1e,run2s,run2e,run3s,run3e,run4s,run4e,run5s,run5e
30000,8,64,4.57,39.65,4.57,39.67,4.56,41.38,4.57,39.73,4.57,39.66
30000,8,128,22.15,40.97,4.27,39.22,4.61,39.24,22.09,39.28,4.57,39.28
30000,8,256,4.57,39.18,4.55,40.91,6.83,40.24,4.56,39.14,4.57,39.84
30000,8,512,4.57,39.13,4.57,39.25,4.57,40.20,4.57,39.81,4.57,40.52
30000,8,1024,4.56,40.44,4.57,41.00,4.57,40.38,4.05,40.39,4.57,39.75
30000,8,2048,4.44,41.47,4.57,40.70,4.47,40.35,4.39,40.17,4.47,40.61
30000,8,4096,4.48,42.74,4.50,40.29,4.51,43.08,4.49,43.38,4.49,43.62
30000,12,1,22.80,237.19,21.89,268.10,21.02,259.63,21.68,282.99,22.07,260.63
30000,12,10,2.45,68.07,2.39,65.68,20.31,63.32,2.38,66.33,2.38,63.50
30000,12,16,2.53,54.32,2.33,54.88,2.28,54.18,2.42,52.54,2.38,50.08
30000,12,32,8.58,45.87,17.43,45.98,2.39,46.11,21.91,46.20,8.51,42.06
30000,12,64,2.23,44.40,8.71,44.36,2.31,40.90,2.30,44.15,5.87,43.98
30000,12,128,2.39,40.20,21.73,44.06,2.38,43.22,17.75,44.48,21.19,43.15
30000,12,256,2.41,43.12,2.41,43.11,2.40,44.24,2.38,43.04,21.73,43.31
30000,12,512,2.41,42.82,2.38,44.42,2.40,41.08,3.58,44.08,2.37,39.98
30000,12,1024,2.39,44.59,2.41,43.15,2.37,41.60,2.34,44.75,20.75,44.11
30000,12,2048,2.42,42.09,2.37,43.99,2.38,43.88,17.94,44.77,17.97,42.75
30000,12,4096,2.34,41.51,2.35,41.72,2.35,42.05,2.36,44.26,2.37,45.00
30000,16,1,21.96,352.43,22.14,258.56,21.55,346.22,21.79,344.50,21.98,283.03
30000,16,10,1.82,70.46,2.80,70.52,1.85,67.95,3.59,68.30,1.84,69.19
30000,16,16,1.83,55.98,1.83,56.04,21.46,56.29,1.88,55.22,7.40,56.76
30000,16,32,1.84,47.22,6.95,47.21,1.84,47.17,1.81,47.41,1.84,47.69
30000,16,64,21.91,45.11,21.85,45.47,1.80,45.10,1.83,44.84,1.80,44.83
30000,16,128,1.82,45.68,21.97,45.67,1.83,44.59,1.82,45.21,21.80,45.61
30000,16,256,1.80,44.82,1.84,44.61,1.81,44.79,1.86,44.49,1.86,44.52
30000,16,512,21.73,45.25,1.76,45.00,1.82,45.58,1.87,45.34,1.82,45.16
30000,16,1024,16.92,45.37,14.96,45.70,1.81,45.53,1.85,45.52,1.81,45.71
30000,16,2048,9.80,44.74,1.84,43.60,1.81,43.65,1.81,45.00,20.56,43.62
30000,16,4096,1.80,43.83,1.80,44.82,1.78,43.87,1.81,44.23,1.78,43.63
30000,20,1,22.03,348.74,21.86,399.92,21.60,444.61,20.13,402.81,20.07,411.09
30000,20,10,1.46,74.37,1.44,73.12,18.06,76.69,1.45,74.58,1.45,75.65
30000,20,16,3.11,60.51,5.90,60.84,1.45,60.03,1.47,60.41,1.48,60.96
30000,20,32,1.45,49.87,21.51,49.86,1.46,50.33,1.53,49.11,1.46,50.32
30000,20,64,6.08,47.56,21.70,48.00,1.47,47.64,21.77,47.96,21.14,47.98
30000,20,128,21.72,47.44,1.45,47.46,1.49,47.49,1.46,47.02,21.34,46.75
30000,20,256,1.46,46.88,1.48,47.31,1.47,46.39,1.46,46.07,20.91,46.24
30000,20,512,15.83,46.54,20.56,47.58,1.46,47.43,1.49,46.39,1.47,47.37
30000,20,1024,18.44,47.67,21.12,47.01,1.46,46.79,1.46,47.02,1.43,47.48
30000,20,2048,8.38,48.33,1.44,44.99,1.51,46.69,1.44,45.53,1.45,45.87
30000,20,4096,1.46,46.52,3.51,44.73,1.46,43.85,1.45,46.54,1.43,47.88
30000,24,1,20.60,423.39,21.64,468.23,21.64,431.77,17.74,452.60,21.70,417.63
30000,24,10,1.27,77.95,1.30,76.54,14.91,77.59,20.36,78.55,1.27,79.11
30000,24,16,1.29,62.10,8.60,62.34,1.32,61.61,1.30,61.23,1.27,62.36
30000,24,32,1.29,49.84,1.29,50.23,1.28,50.37,1.31,50.95,21.49,50.51
30000,24,64,21.58,48.60,1.30,48.22,21.47,48.39,21.58,48.12,1.29,48.52
30000,24,128,1.28,47.91,1.30,47.48,21.11,48.15,1.30,48.26,1.27,48.32
